[in_i],Inch [English Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,in,Active,English Length Units,8/24/2005,Inch,L,118
[ft_i],Feet [English Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ft,Active,English Length Units,8/24/2005,Feet,L,119
[yd_i],Yard [English Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,yd,Active,English Length Units,8/24/2005,Yard,L,120
[fth_i],Fathom [English Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,fathom,Active,English Length Units,8/24/2005,Fathom,L,121
[mi_i],StatuteMile [English Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mi,Active,English Length Units,8/24/2005,StatuteMile,L,122
[nmi_i],NauticalMile [English Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,n mile,Active,English Length Units,8/24/2005,NauticalMile,L,123
[Ch],French [English Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,French Unit,Active,English Length Units,8/24/2005,French,L,124
fm,FemtoMeter [SI Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,fm,Active,SI Length Units,8/24/2005,FemtoMeter,L,125
pm,PicoMeter [SI Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,pm,Active,SI Length Units,8/24/2005,PicoMeter,L,126
nm,NanoMeter [SI Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,nm,Active,SI Length Units,8/24/2005,NanoMeter,L,127
um,MicroMeter [SI Length Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,um,Active,SI Length Units,8/24/2005,MicroMeter,L,128
